pipe,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
p1,-0.0010643005,-0.0010643005,-0.0010681152,-0.7384796,-0.19220734,-0.21833038,-0.4501915,-0.42616653,0.0,-0.45567322,-0.25502396,-0.16523743,-0.27126312,-0.50567245,-0.7194977,-0.50860214,-0.7000313,-0.5077591,-0.19075775,-0.15037537,-0.22060013,-0.2616005,-0.44129944,-0.30577087,-0.45778656,-0.36658096,-0.3573799,-0.2682762,-0.18370819,-0.22453308,-0.0961647,-0.22808075,-0.16984558
p2,-0.0010604858,-0.0010566711,-0.0010643005,-0.7399521,-0.19923782,-0.22613525,-0.46299744,-0.43723297,0.0,-0.45934296,-0.25701523,-0.16653442,-0.2812004,-0.51216125,-0.71741295,-0.54684067,-0.6985321,-0.51981735,-0.19771576,-0.15624619,-0.2285881,-0.27062225,-0.46360397,-0.3158989,-0.46777344,-0.36948013,-0.36019897,-0.27038956,-0.18513107,-0.22628784,-0.096912384,-0.22985458,-0.17116547
p3,-0.0009098053,-0.00090789795,-0.00091552734,-0.64045715,-0.17911911,-0.20367432,-0.4209671,-0.40202332,0.0,-0.46223068,-0.25845337,-0.16749191,-0.2526703,-0.495636,-0.66335106,-0.4559784,-0.6687393,-0.46913147,-0.17780685,-0.13972092,-0.20565414,-0.2443695,-0.4040451,-0.28598404,-0.43654633,-0.37184143,-0.36233902,-0.2719841,-0.18615723,-0.22752762,-0.09745407,-0.23111343,-0.17210007
p4,-0.0009803772,-0.0009765625,-0.0009841919,-0.67053986,-0.21989441,-0.24873734,-0.48849106,-0.45573425,0.0,-0.4384079,-0.2457161,-0.15917969,-0.310318,-0.4976883,-0.65254784,-0.61125183,-0.6377144,-0.52780914,-0.21813965,-0.17408752,-0.25185013,-0.29575348,-0.5578575,-0.34263992,-0.47704315,-0.35274887,-0.34412766,-0.25835037,-0.17703247,-0.21638489,-0.092674255,-0.2198143,-0.16369247
p5,-1.1089935,-0.7075615,-0.53510666,-0.4824257,-0.1258812,-0.14331436,-0.28718185,-0.27289963,0.0,-0.2869568,-0.16696548,-0.107788086,-0.17576218,-0.317379,-0.4270172,-0.31785202,-0.41887665,-0.31999207,-0.12509155,-0.09770584,-0.14409637,-0.17103195,-0.27962494,-0.19835663,-0.29220963,-0.23342133,-0.22986221,-0.17354202,-0.120708466,-0.14770508,-0.063179016,-0.15020752,-0.111839294
p6,-0.9433727,-1.3426437,-0.82702255,-0.48339844,-0.12610245,-0.14356232,-0.28769684,-0.2733879,0.0,-0.2874756,-0.16725159,-0.107975006,-0.17607498,-0.31795502,-0.42784882,-0.31843567,-0.41967773,-0.3205719,-0.1253128,-0.09788132,-0.14435196,-0.1713295,-0.2801323,-0.19869995,-0.29273224,-0.23383331,-0.2302742,-0.1738472,-0.120918274,-0.14795685,-0.06328964,-0.15047073,-0.11203766
p7,-0.75211906,-3.055441,-0.6192627,-0.48258972,-0.12592697,-0.14336014,-0.28726196,-0.27299118,0.0,-0.28704453,-0.16701508,-0.1078186,-0.17581177,-0.31747437,-0.42715645,-0.31795883,-0.41901398,-0.32009506,-0.12513733,-0.097732544,-0.14414597,-0.17108536,-0.27971268,-0.19840622,-0.29229736,-0.23348999,-0.2299385,-0.1735878,-0.1207428,-0.14774323,-0.06319809,-0.15026093,-0.111881256
p8,-0.9488182,-0.54896927,-0.40463638,-0.4819069,-0.12577438,-0.14318848,-0.28689957,-0.27264404,0.0,-0.28668213,-0.1668129,-0.10768509,-0.17559433,-0.31707764,-0.4265728,-0.31753922,-0.4184456,-0.3196907,-0.12498474,-0.0976181,-0.14396286,-0.17087555,-0.27936172,-0.19816208,-0.29193115,-0.23319626,-0.22964859,-0.17337418,-0.12059784,-0.14756775,-0.06312561,-0.15007019,-0.11174011
p9,-0.0010604858,-0.0010566711,-0.0010643005,-0.737278,-0.20688248,-0.23457718,-0.4754219,-0.44779587,0.0,-0.46178055,-0.25832367,-0.16737747,-0.29196167,-0.5165405,-0.715271,-0.59641266,-0.696846,-0.5292511,-0.20527649,-0.16271591,-0.23723602,-0.28024292,-0.48975754,-0.32653046,-0.47673798,-0.3713951,-0.362072,-0.27178574,-0.1860733,-0.22743607,-0.097400665,-0.23102188,-0.1720314
p10,-0.0009288788,-0.00093078613,-0.00093460083,-0.66031265,-0.17749405,-0.20173645,-0.41568375,-0.39494324,0.0,-0.4340515,-0.24328613,-0.15763855,-0.25030136,-0.4746666,-1.782795,-0.46150208,-0.65605927,-0.46635818,-0.1761818,-0.13864899,-0.20371628,-0.2417984,-0.4040146,-0.2826271,-0.42594147,-0.34941864,-0.34074402,-0.25582886,-0.17528915,-0.21424484,-0.09176636,-0.21764374,-0.16207504
p11,-1.3417645,-0.567646,-0.41220093,-0.48191833,-0.12577438,-0.14318848,-0.286911,-0.27264404,0.0,-0.28668976,-0.16681671,-0.107688904,-0.17560196,-0.31707764,-0.42658615,-0.31755066,-0.41845703,-0.3196907,-0.124988556,-0.09762192,-0.14397049,-0.17087555,-0.27936554,-0.19817352,-0.29193878,-0.23320389,-0.22966003,-0.17337418,-0.12059784,-0.14756775,-0.06312561,-0.15007782,-0.11174393
p12,-0.7957535,-3.8597012,-0.66013336,-0.48275375,-0.12595749,-0.1434021,-0.2873497,-0.27306366,0.0,-0.28712845,-0.16706085,-0.107852936,-0.17586517,-0.31758118,-0.4272995,-0.318058,-0.4191475,-0.32019043,-0.12517166,-0.097766876,-0.14418411,-0.17113495,-0.27980042,-0.19847107,-0.2923851,-0.23355865,-0.22999954,-0.1736412,-0.120780945,-0.14778519,-0.06321716,-0.15030289,-0.111904144
p13,-0.9623985,-1.0104675,-1.3204575,-0.48401642,-0.12624359,-0.14371872,-0.28801727,-0.27370453,0.0,-0.28780746,-0.16743469,-0.10809708,-0.17626953,-0.31832123,-0.42837906,-0.31881714,-0.42019653,-0.32094574,-0.12545013,-0.09798813,-0.14451218,-0.17152786,-0.28046036,-0.1989212,-0.29307175,-0.23410416,-0.23052216,-0.17404175,-0.12105179,-0.1481247,-0.06336212,-0.15063477,-0.11215973
p14,-0.95531654,-1.4136429,-0.80953217,-0.48335648,-0.126091,-0.14355469,-0.28766632,-0.27336884,0.0,-0.28744888,-0.16724014,-0.10796738,-0.17605972,-0.31793594,-0.42781258,-0.3184166,-0.41964722,-0.32055283,-0.12530899,-0.09786987,-0.14434814,-0.17131805,-0.28011322,-0.19868088,-0.29271317,-0.23382187,-0.23025513,-0.17383194,-0.12091446,-0.14795303,-0.06328583,-0.15045929,-0.112026215
