pipe,year,kind,diameter_mm,start,x,y,true_zone,detected,delay_days,zone_rank
p257,2018,incipient,11.8,2018-01-08,296.91,1569.97,11,yes,44,
p461,2018,incipient,21.3,2018-01-23,267.82,423.37,8,yes,44,
p232,2018,incipient,20.1,2018-01-31,1167.79,713.02,7,no,,4
p427,2018,incipient,9.1,2018-02-13,1293.7,960.69,7,yes,38,11
p673,2018,abrupt,22.9,2018-03-05,1655.71,657.27,5,yes,33,1
p810,2018,incipient,10.0,2018-07-28,2413.3,397.28,6,yes,21,1
p628,2018,incipient,22.3,2018-05-02,1112.86,345.84,3,yes,6,4
p538,2018,abrupt,21.7,2018-05-18,540.25,317.17,8,yes,5,1
p866,2018,abrupt,18.1,2018-06-01,2691.82,842.85,12,yes,6,1
p31,2018,incipient,16.4,2018-06-28,387.02,956.05,2,yes,21,8
p654,2018,incipient,8.8,2018-07-05,1249.76,430.96,3,yes,29,11
p183,2018,abrupt,15.9,2018-08-07,2485.54,632.88,6,yes,27,1
p158,2018,abrupt,19.4,2018-10-06,1899.68,803.56,1,yes,12,1
p369,2018,abrupt,19.4,2018-10-26,937.42,1141.56,9,yes,7,1
p523,2019,abrupt,20.2,2019-01-15,426.01,307.23,8,yes,10,1
p827,2019,abrupt,20.2,2019-01-24,2688.02,706.02,12,yes,16,1
p280,2019,abrupt,9.5,2019-02-10,290.08,1114.06,2,yes,14,5
p653,2019,incipient,16.0,2019-03-03,1231.26,378.1,3,yes,20,6
p710,2019,abrupt,9.3,2019-03-24,1876.12,895.03,1,yes,14,9
p514,2019,abrupt,15.0,2019-04-02,559.81,525.94,10,yes,20,1
p331,2019,abrupt,14.1,2019-04-20,899.7,1204.95,9,yes,17,1
p193,2019,incipient,12.4,2019-05-19,2755.54,465.07,6,yes,3,11
p277,2019,incipient,12.1,2019-05-30,446.3,1416.67,11,yes,14,12
p142,2019,abrupt,19.9,2019-06-12,1165.09,582.26,3,yes,16,2
p680,2019,abrupt,9.7,2019-07-10,1730.98,563.66,5,yes,3,6
p586,2019,incipient,17.2,2019-07-26,723.04,313.78,4,yes,2,1
p721,2019,incipient,14.1,2019-08-02,1777.02,691.96,5,yes,22,5
p800,2019,incipient,18.8,2019-08-16,2517.19,884.44,12,yes,23,1
p123,2019,incipient,11.9,2019-09-13,895.28,770.34,7,yes,10,4
p455,2019,incipient,12.7,2019-10-03,182.3,346.28,8,yes,5,1
p762,2019,incipient,15.2,2019-10-09,2091.07,604.96,1,yes,22,3
p426,2019,abrupt,15.0,2019-10-25,1252.26,987.64,7,no,,5
p879,2019,incipient,13.2,2019-11-20,2816.36,780.2,12,no,,2
