pipe,start,end,length_m,zone,start_x,start_y,end_x,end_y,diameter_mm
p1,n62,n61,26.9292,9,724.95,1097.08,725.87,1121.15,200.0
p2,n66,n64,14.3481,9,722.29,1043.96,722.95,1058.3,150.0
p3,n86,n90,50.1267,7,1161.0,1063.44,1190.11,1028.08,200.0
p4,n71,n70,29.2259,9,745.58,918.67,716.36,917.96,100.0
p5,n3,n2,23.7879,11,271.28,1480.96,274.23,1504.56,100.0
p6,n12,n14,31.2114,11,271.09,1281.28,302.24,1279.26,100.0
p7,n6,n9,43.3995,11,261.33,1361.98,256.54,1318.85,100.0
p8,n22,n30,53.0045,11,525.83,1490.19,575.55,1471.84,100.0
p9,n67,n66,53.1261,9,719.53,990.91,722.29,1043.96,150.0
p10,n46,n48,62.6501,9,574.86,1216.08,617.95,1261.56,100.0
p11,n7,n10,68.3713,11,369.97,1543.26,361.45,1475.42,100.0
p12,n9,n4,70.3494,11,256.54,1318.85,186.62,1326.65,100.0
p13,n31,n27,49.4422,2,361.51,1100.77,378.84,1136.18,100.0
p14,n14,n16,34.2032,11,302.24,1279.26,336.37,1277.06,100.0
p15,n15,n16,72.2253,11,344.84,1347.41,336.37,1277.06,100.0
p16,n16,n18,50.1237,11,336.37,1277.06,331.16,1227.21,100.0
p17,n18,n20,54.2489,2,331.16,1227.21,325.78,1173.23,100.0
p18,n18,n24,65.191,2,331.16,1227.21,393.3,1207.5,100.0
p19,n21,n25,56.4633,2,181.22,914.67,195.95,860.16,100.0
p20,n26,n28,29.6436,2,309.66,1037.48,305.94,1008.07,100.0
p21,n27,n34,47.7731,2,378.84,1136.18,423.91,1120.35,100.0
p22,n28,n33,43.8692,2,305.94,1008.07,300.29,964.57,100.0
p23,n29,n32,18.6286,11,482.97,1314.28,478.09,1296.3,100.0
p24,n32,n36,50.1077,11,478.09,1296.3,525.89,1281.28,100.0
p25,n33,n35,72.5123,2,300.29,964.57,292.4,892.5,100.0
p26,n34,n37,60.0953,2,423.91,1120.35,405.03,1063.3,100.0
p27,n35,n38,38.7224,2,292.4,892.5,288.82,853.94,100.0
p28,n36,n41,42.5986,11,525.89,1281.28,566.53,1268.51,100.0
p29,n37,n45,63.0851,2,405.03,1063.3,460.34,1032.96,100.0
p30,n37,n39,49.6992,2,405.03,1063.3,389.45,1016.1,100.0
p31,n40,n42,48.2914,2,370.29,938.65,403.76,973.45,100.0
p32,n42,n43,41.6678,2,403.76,973.45,432.65,1003.48,100.0
p33,n43,n45,40.4763,2,432.65,1003.48,460.34,1032.96,100.0
p34,n50,n55,59.8532,9,727.0,1399.94,777.67,1368.09,100.0
p35,n51,n53,43.4704,2,445.94,892.44,444.76,848.99,100.0
p36,n52,n56,54.7204,2,512.28,995.79,566.99,994.58,150.0
p37,n54,n57,70.2049,9,621.8,1124.08,609.29,1055.0,100.0
p38,n60,n61,9.2891,9,716.93,1123.7,725.87,1121.15,100.0
p39,n61,n65,36.1551,9,725.87,1121.15,760.67,1111.34,200.0
p40,n62,n64,38.8374,9,724.95,1097.08,722.95,1058.3,150.0
