sensor,x,y
n1,138.22,1549.64
n4,186.62,1326.65
n31,361.51,1100.77
n54,621.8,1124.08
n105,332.64,554.96
n114,240.32,280.96
n163,869.24,622.9
n188,936.66,285.66
n215,1638.34,378.76
n229,1757.58,636.18
n288,2266.76,478.46
n296,2576.89,923.8
n332,603.95,462.8
n342,1417.76,851.74
n410,820.52,1331.76
n415,532.49,833.25
n429,904.62,1077.18
n458,1066.26,847.65
n469,223.12,777.03
n495,490.66,626.35
n506,417.64,392.3
n516,330.92,117.53
n519,713.91,799.8
n549,625.26,208.53
n613,1369.15,537.26
n636,1894.24,943.73
n644,1848.45,836.28
n679,2164.96,839.55
n722,2666.4,775.59
n726,2459.66,718.99
n740,2740.36,904.38
n752,2580.23,594.98
n769,2828.5,602.31
