zone,x,y,n_pipes,length_km
1,2084.2630729166667,668.2788541666667,96,4.5124388
2,344.43296875,1062.7803125,64,3.1802877
3,1235.0222881355933,488.74177966101695,59,2.8528703
4,776.995388888889,450.5543888888889,90,4.1792628
5,1635.5902551020408,702.4916326530613,98,4.5851897
6,2580.1036301369863,528.9801369863014,73,3.4079748
7,1035.3211445783134,858.7472891566264,83,3.958483
8,351.5796774193548,264.4634677419355,62,2.9691462
9,772.3912987012986,1142.9736363636364,77,3.6558476
10,412.9122,616.5399333333334,75,3.6413295
11,382.90882352941173,1405.564411764706,51,2.5211223
12,2591.016689189189,874.092027027027,74,3.60919
