pipe,kind,diameter_mm,onset,alarm_day,delay_days,sensor,score
p523,abrupt,20.246,2019-01-15 23:00:00,2019-01-25,10,n415,11.557080695551278
p827,abrupt,20.25,2019-01-24 18:30:00,2019-02-09,16,n726,28.663087004099545
p280,abrupt,9.5008,2019-02-10 13:05:00,2019-02-24,14,n31,9.069555654425463
p653,incipient,16.035,2019-03-03 13:10:00,2019-03-23,20,n613,4.606033180673032
p710,abrupt,9.293600000000001,2019-03-24 14:15:00,2019-04-07,14,n332,28.4620098685676
p514,abrupt,14.979,2019-04-02 20:40:00,2019-04-22,20,n410,42.38239612276119
p331,abrupt,14.052999999999999,2019-04-20 10:10:00,2019-05-07,17,n410,72.2586263067843
p193,incipient,12.39,2019-05-19 10:40:00,2019-05-22,3,n188,16.066069782522195
p277,incipient,12.089,2019-05-30 21:55:00,2019-06-13,14,n549,4.478154073328431
p142,abrupt,19.857,2019-06-12 19:55:00,2019-06-28,16,n549,29.819402760712396
p680,abrupt,9.7197,2019-07-10 08:45:00,2019-07-13,3,n215,45.04217058722562
p586,incipient,17.184,2019-07-26 14:40:00,2019-07-28,2,n215,50.10615120090925
p721,incipient,14.08,2019-08-02 03:00:00,2019-08-24,22,n31,4.093367087223811
p800,incipient,18.846999999999998,2019-08-16 14:00:00,2019-09-08,23,n296,32.96936294932138
p123,incipient,11.906,2019-09-13 20:05:00,2019-09-23,10,n636,17.025406737912242
p455,incipient,12.722000000000001,2019-10-03 14:00:00,2019-10-08,5,n722,13.373743750666781
p762,incipient,15.19,2019-10-09 10:15:00,2019-10-31,22,n215,4.100682705076408
