pipe,kind,diameter_mm,day_used,true_zone,pred_zone,zone_rank,top1,top3,pred_pipe,dist_m
p523,abrupt,20.2,2019-01-15,7,7,1,True,True,p498,53.8
p827,abrupt,20.2,2019-01-24,11,11,1,True,True,p823,203.3
p280,abrupt,9.5,2019-02-10,1,7,5,False,False,p849,2447.5
p653,incipient,16.0,2019-03-03,2,11,6,False,False,p824,1347.2
p710,abrupt,9.3,2019-03-24,0,3,9,False,False,p226,1325.4
p514,abrupt,15.0,2019-04-02,9,9,1,True,True,p453,373.5
p331,abrupt,14.1,2019-04-20,8,8,1,True,True,p325,303.5
p193,incipient,12.4,2019-05-19,5,2,11,False,False,p658,1374.0
p277,incipient,12.1,2019-05-30,10,3,12,False,False,p135,1214.8
p142,abrupt,19.9,2019-06-12,2,3,2,False,True,p204,443.2
p680,abrupt,9.7,2019-07-10,4,10,6,False,False,p849,1112.3
p586,incipient,17.2,2019-07-26,3,3,1,True,True,p133,81.0
p721,incipient,14.1,2019-08-02,4,3,5,False,False,p133,1113.6
p800,incipient,18.8,2019-08-16,11,11,1,True,True,p837,94.4
p123,incipient,11.9,2019-09-13,6,1,4,False,False,p317,518.3
p455,incipient,12.7,2019-10-03,7,7,1,True,True,p233,395.7
p762,incipient,15.2,2019-10-09,0,11,3,False,True,p837,603.6
p426,abrupt,15.0,2019-10-25,6,11,5,False,False,p172,1168.2
p879,incipient,13.2,2019-11-20,11,10,2,False,True,p849,271.1
